DateTime,Junction,Vehicles,Hour,DayOfWeek,Month
2015-11-04 23:00:00,1,24,23,2,11
2015-11-05 00:00:00,1,19,0,3,11
2015-11-05 01:00:00,1,20,1,3,11
2015-11-05 02:00:00,1,18,2,3,11
2015-11-05 03:00:00,1,13,3,3,11
2015-11-05 04:00:00,1,13,4,3,11
2015-11-05 05:00:00,1,9,5,3,11
2015-11-05 06:00:00,1,12,6,3,11
2015-11-05 07:00:00,1,12,7,3,11
2015-11-05 08:00:00,1,15,8,3,11
2015-11-05 09:00:00,1,16,9,3,11
2015-11-05 10:00:00,1,23,10,3,11
2015-11-05 11:00:00,1,24,11,3,11
2015-11-05 12:00:00,1,25,12,3,11
2015-11-05 13:00:00,1,24,13,3,11
2015-11-05 14:00:00,1,26,14,3,11
2015-11-05 15:00:00,1,22,15,3,11
2015-11-05 16:00:00,1,20,16,3,11
2015-11-05 17:00:00,1,20,17,3,11
2015-11-05 18:00:00,1,22,18,3,11
2015-11-05 19:00:00,1,26,19,3,11
2015-11-05 20:00:00,1,22,20,3,11
2015-11-05 21:00:00,1,21,21,3,11
2015-11-05 22:00:00,1,21,22,3,11
2015-11-05 23:00:00,1,21,23,3,11
2015-11-06 00:00:00,1,16,0,4,11
2015-11-06 01:00:00,1,18,1,4,11
2015-11-06 02:00:00,1,19,2,4,11
2015-11-06 03:00:00,1,14,3,4,11
2015-11-06 04:00:00,1,12,4,4,11
2015-11-06 05:00:00,1,13,5,4,11
2015-11-06 06:00:00,1,14,6,4,11
2015-11-06 07:00:00,1,14,7,4,11
2015-11-06 08:00:00,1,13,8,4,11
2015-11-06 09:00:00,1,20,9,4,11
2015-11-06 10:00:00,1,22,10,4,11
2015-11-06 11:00:00,1,26,11,4,11
2015-11-06 12:00:00,1,26,12,4,11
2015-11-06 13:00:00,1,21,13,4,11
2015-11-06 14:00:00,1,23,14,4,11
2015-11-06 15:00:00,1,23,15,4,11
2015-11-06 16:00:00,1,19,16,4,11
2015-11-06 17:00:00,1,19,17,4,11
2015-11-06 18:00:00,1,20,18,4,11
2015-11-06 19:00:00,1,24,19,4,11
2015-11-06 20:00:00,1,18,20,4,11
2015-11-06 21:00:00,1,19,21,4,11
2015-11-06 22:00:00,1,16,22,4,11
2015-11-06 23:00:00,1,17,23,4,11
2015-11-07 00:00:00,1,16,0,5,11
2015-11-07 01:00:00,1,16,1,5,11
2015-11-07 02:00:00,1,10,2,5,11
2015-11-07 03:00:00,1,9,3,5,11
2015-11-07 04:00:00,1,8,4,5,11
2015-11-07 05:00:00,1,7,5,5,11
2015-11-07 06:00:00,1,9,6,5,11
2015-11-07 07:00:00,1,8,7,5,11
2015-11-07 08:00:00,1,12,8,5,11
2015-11-07 09:00:00,1,13,9,5,11
2015-11-07 10:00:00,1,17,10,5,11
2015-11-07 11:00:00,1,14,11,5,11
2015-11-07 12:00:00,1,14,12,5,11
2015-11-07 13:00:00,1,14,13,5,11
2015-11-07 14:00:00,1,14,14,5,11
2015-11-07 15:00:00,1,11,15,5,11
2015-11-07 16:00:00,1,15,16,5,11
2015-11-07 17:00:00,1,13,17,5,11
2015-11-07 18:00:00,1,12,18,5,11
2015-11-07 19:00:00,1,17,19,5,11
2015-11-07 20:00:00,1,18,20,5,11
2015-11-07 21:00:00,1,17,21,5,11
2015-11-07 22:00:00,1,16,22,5,11
2015-11-07 23:00:00,1,15,23,5,11
2015-11-08 00:00:00,1,13,0,6,11
2015-11-08 01:00:00,1,16,1,6,11
2015-11-08 02:00:00,1,11,2,6,11
2015-11-08 03:00:00,1,8,3,6,11
2015-11-08 04:00:00,1,10,4,6,11
2015-11-08 05:00:00,1,10,5,6,11
2015-11-08 06:00:00,1,10,6,6,11
2015-11-08 07:00:00,1,9,7,6,11
2015-11-08 08:00:00,1,11,8,6,11
2015-11-08 09:00:00,1,12,9,6,11
2015-11-08 10:00:00,1,18,10,6,11
2015-11-08 11:00:00,1,14,11,6,11
2015-11-08 12:00:00,1,17,12,6,11
2015-11-08 13:00:00,1,14,13,6,11
2015-11-08 14:00:00,1,14,14,6,11
2015-11-08 15:00:00,1,14,15,6,11
2015-11-08 16:00:00,1,12,16,6,11
2015-11-08 17:00:00,1,14,17,6,11
2015-11-08 18:00:00,1,18,18,6,11
2015-11-08 19:00:00,1,13,19,6,11
2015-11-08 20:00:00,1,16,20,6,11
2015-11-08 21:00:00,1,18,21,6,11
2015-11-08 22:00:00,1,14,22,6,11
2015-11-08 23:00:00,1,14,23,6,11
2015-11-09 00:00:00,1,13,0,0,11
2015-11-09 01:00:00,1,15,1,0,11
2015-11-09 02:00:00,1,11,2,0,11
2015-11-09 03:00:00,1,10,3,0,11
2015-11-09 04:00:00,1,9,4,0,11
2015-11-09 05:00:00,1,8,5,0,11
2015-11-09 06:00:00,1,8,6,0,11
2015-11-09 07:00:00,1,10,7,0,11
2015-11-09 08:00:00,1,11,8,0,11
2015-11-09 09:00:00,1,17,9,0,11
2015-11-09 10:00:00,1,19,10,0,11
2015-11-09 11:00:00,1,22,11,0,11
2015-11-09 12:00:00,1,23,12,0,11
2015-11-09 13:00:00,1,23,13,0,11
2015-11-09 14:00:00,1,24,14,0,11
2015-11-09 15:00:00,1,24,15,0,11
2015-11-09 16:00:00,1,19,16,0,11
2015-11-09 17:00:00,1,19,17,0,11
2015-11-09 18:00:00,1,20,18,0,11
2015-11-09 19:00:00,1,31,19,0,11
2015-11-09 20:00:00,1,25,20,0,11
2015-11-09 21:00:00,1,35,21,0,11
2015-11-09 22:00:00,1,21,22,0,11
2015-11-09 23:00:00,1,24,23,0,11
2015-11-10 00:00:00,1,19,0,1,11
2015-11-10 01:00:00,1,19,1,1,11
2015-11-10 02:00:00,1,18,2,1,11
2015-11-10 03:00:00,1,17,3,1,11
2015-11-10 04:00:00,1,12,4,1,11
2015-11-10 05:00:00,1,10,5,1,11
2015-11-10 06:00:00,1,14,6,1,11
2015-11-10 07:00:00,1,15,7,1,11
2015-11-10 08:00:00,1,14,8,1,11
2015-11-10 09:00:00,1,34,9,1,11
2015-11-10 10:00:00,1,40,10,1,11
2015-11-10 11:00:00,1,38,11,1,11
2015-11-10 12:00:00,1,36,12,1,11
2015-11-10 13:00:00,1,27,13,1,11
2015-11-10 14:00:00,1,48,14,1,11
2015-11-10 15:00:00,1,43,15,1,11
2015-11-10 16:00:00,1,41,16,1,11
2015-11-10 17:00:00,1,35,17,1,11
2015-11-10 18:00:00,1,40,18,1,11
2015-11-10 19:00:00,1,40,19,1,11
2015-11-10 20:00:00,1,40,20,1,11
2015-11-10 21:00:00,1,36,21,1,11
2015-11-10 22:00:00,1,37,22,1,11
2015-11-10 23:00:00,1,35,23,1,11
2015-11-11 00:00:00,1,28,0,2,11
2015-11-11 01:00:00,1,25,1,2,11
2015-11-11 02:00:00,1,19,2,2,11
2015-11-11 03:00:00,1,21,3,2,11
2015-11-11 04:00:00,1,20,4,2,11
2015-11-11 05:00:00,1,15,5,2,11
2015-11-11 06:00:00,1,17,6,2,11
2015-11-11 07:00:00,1,14,7,2,11
2015-11-11 08:00:00,1,19,8,2,11
2015-11-11 09:00:00,1,22,9,2,11
2015-11-11 10:00:00,1,30,10,2,11
2015-11-11 11:00:00,1,26,11,2,11
2015-11-11 12:00:00,1,26,12,2,11
2015-11-11 13:00:00,1,23,13,2,11
2015-11-11 14:00:00,1,23,14,2,11
2015-11-11 15:00:00,1,24,15,2,11
2015-11-11 16:00:00,1,22,16,2,11
2015-11-11 17:00:00,1,24,17,2,11
2015-11-11 18:00:00,1,26,18,2,11
2015-11-11 19:00:00,1,27,19,2,11
2015-11-11 20:00:00,1,22,20,2,11
2015-11-11 21:00:00,1,23,21,2,11
2015-11-11 22:00:00,1,22,22,2,11
2015-11-11 23:00:00,1,22,23,2,11
2015-11-12 00:00:00,1,22,0,3,11
2015-11-12 01:00:00,1,17,1,3,11
2015-11-12 02:00:00,1,15,2,3,11
2015-11-12 03:00:00,1,12,3,3,11
2015-11-12 04:00:00,1,13,4,3,11
2015-11-12 05:00:00,1,9,5,3,11
2015-11-12 06:00:00,1,14,6,3,11
2015-11-12 07:00:00,1,13,7,3,11
2015-11-12 08:00:00,1,15,8,3,11
2015-11-12 09:00:00,1,27,9,3,11
2015-11-12 10:00:00,1,39,10,3,11
2015-11-12 11:00:00,1,40,11,3,11
2015-11-12 12:00:00,1,36,12,3,11
2015-11-12 13:00:00,1,34,13,3,11
2015-11-12 14:00:00,1,33,14,3,11
2015-11-12 15:00:00,1,28,15,3,11
2015-11-12 16:00:00,1,30,16,3,11
2015-11-12 17:00:00,1,26,17,3,11
2015-11-12 18:00:00,1,30,18,3,11
2015-11-12 19:00:00,1,35,19,3,11
2015-11-12 20:00:00,1,38,20,3,11
2015-11-12 21:00:00,1,34,21,3,11
2015-11-12 22:00:00,1,30,22,3,11
2015-11-12 23:00:00,1,27,23,3,11
2015-11-13 00:00:00,1,24,0,4,11
2015-11-13 01:00:00,1,21,1,4,11
2015-11-13 02:00:00,1,16,2,4,11
2015-11-13 03:00:00,1,16,3,4,11
2015-11-13 04:00:00,1,13,4,4,11
2015-11-13 05:00:00,1,11,5,4,11
2015-11-13 06:00:00,1,13,6,4,11
2015-11-13 07:00:00,1,15,7,4,11
2015-11-13 08:00:00,1,17,8,4,11
2015-11-13 09:00:00,1,18,9,4,11
2015-11-13 10:00:00,1,24,10,4,11
2015-11-13 11:00:00,1,41,11,4,11
2015-11-13 12:00:00,1,29,12,4,11
2015-11-13 13:00:00,1,25,13,4,11
2015-11-13 14:00:00,1,25,14,4,11
2015-11-13 15:00:00,1,26,15,4,11
2015-11-13 16:00:00,1,25,16,4,11
2015-11-13 17:00:00,1,24,17,4,11
2015-11-13 18:00:00,1,26,18,4,11
2015-11-13 19:00:00,1,24,19,4,11
2015-11-13 20:00:00,1,28,20,4,11
2015-11-13 21:00:00,1,22,21,4,11
2015-11-13 22:00:00,1,23,22,4,11
2015-11-13 23:00:00,1,18,23,4,11
2015-11-14 00:00:00,1,21,0,5,11
2015-11-14 01:00:00,1,20,1,5,11
2015-11-14 02:00:00,1,15,2,5,11
2015-11-14 03:00:00,1,13,3,5,11
2015-11-14 04:00:00,1,10,4,5,11
2015-11-14 05:00:00,1,10,5,5,11
2015-11-14 06:00:00,1,12,6,5,11
2015-11-14 07:00:00,1,9,7,5,11
2015-11-14 08:00:00,1,11,8,5,11
2015-11-14 09:00:00,1,15,9,5,11
2015-11-14 10:00:00,1,16,10,5,11
2015-11-14 11:00:00,1,16,11,5,11
2015-11-14 12:00:00,1,12,12,5,11
2015-11-14 13:00:00,1,11,13,5,11
2015-11-14 14:00:00,1,14,14,5,11
2015-11-14 15:00:00,1,16,15,5,11
2015-11-14 16:00:00,1,18,16,5,11
2015-11-14 17:00:00,1,13,17,5,11
2015-11-14 18:00:00,1,17,18,5,11
2015-11-14 19:00:00,1,15,19,5,11
2015-11-14 20:00:00,1,19,20,5,11
2015-11-14 21:00:00,1,15,21,5,11
2015-11-14 22:00:00,1,19,22,5,11
2015-11-14 23:00:00,1,15,23,5,11
2015-11-15 00:00:00,1,15,0,6,11
2015-11-15 01:00:00,1,13,1,6,11
2015-11-15 02:00:00,1,14,2,6,11
2015-11-15 03:00:00,1,10,3,6,11
2015-11-15 04:00:00,1,8,4,6,11
2015-11-15 05:00:00,1,9,5,6,11
2015-11-15 06:00:00,1,9,6,6,11
2015-11-15 07:00:00,1,9,7,6,11
2015-11-15 08:00:00,1,9,8,6,11
2015-11-15 09:00:00,1,16,9,6,11
2015-11-15 10:00:00,1,18,10,6,11
2015-11-15 11:00:00,1,18,11,6,11
2015-11-15 12:00:00,1,17,12,6,11
2015-11-15 13:00:00,1,18,13,6,11
2015-11-15 14:00:00,1,14,14,6,11
2015-11-15 15:00:00,1,15,15,6,11
2015-11-15 16:00:00,1,13,16,6,11
2015-11-15 17:00:00,1,15,17,6,11
2015-11-15 18:00:00,1,19,18,6,11
2015-11-15 19:00:00,1,18,19,6,11
2015-11-15 20:00:00,1,21,20,6,11
2015-11-15 21:00:00,1,17,21,6,11
2015-11-15 22:00:00,1,17,22,6,11
2015-11-15 23:00:00,1,15,23,6,11
2015-11-16 00:00:00,1,17,0,0,11
2015-11-16 01:00:00,1,14,1,0,11
2015-11-16 02:00:00,1,13,2,0,11
2015-11-16 03:00:00,1,15,3,0,11
2015-11-16 04:00:00,1,12,4,0,11
2015-11-16 05:00:00,1,12,5,0,11
2015-11-16 06:00:00,1,13,6,0,11
2015-11-16 07:00:00,1,14,7,0,11
2015-11-16 08:00:00,1,13,8,0,11
2015-11-16 09:00:00,1,16,9,0,11
2015-11-16 10:00:00,1,26,10,0,11
2015-11-16 11:00:00,1,21,11,0,11
2015-11-16 12:00:00,1,26,12,0,11
2015-11-16 13:00:00,1,24,13,0,11
2015-11-16 14:00:00,1,26,14,0,11
2015-11-16 15:00:00,1,22,15,0,11
2015-11-16 16:00:00,1,24,16,0,11
2015-11-16 17:00:00,1,26,17,0,11
2015-11-16 18:00:00,1,23,18,0,11
2015-11-16 19:00:00,1,29,19,0,11
2015-11-16 20:00:00,1,31,20,0,11
2015-11-16 21:00:00,1,27,21,0,11
2015-11-16 22:00:00,1,27,22,0,11
2015-11-16 23:00:00,1,26,23,0,11
2015-11-17 00:00:00,1,23,0,1,11
2015-11-17 01:00:00,1,21,1,1,11
2015-11-17 02:00:00,1,19,2,1,11
2015-11-17 03:00:00,1,16,3,1,11
2015-11-17 04:00:00,1,11,4,1,11
2015-11-17 05:00:00,1,11,5,1,11
2015-11-17 06:00:00,1,15,6,1,11
2015-11-17 07:00:00,1,12,7,1,11
2015-11-17 08:00:00,1,12,8,1,11
2015-11-17 09:00:00,1,18,9,1,11
2015-11-17 10:00:00,1,31,10,1,11
2015-11-17 11:00:00,1,42,11,1,11
2015-11-17 12:00:00,1,37,12,1,11
2015-11-17 13:00:00,1,30,13,1,11
2015-11-17 14:00:00,1,33,14,1,11
2015-11-17 15:00:00,1,28,15,1,11
2015-11-17 16:00:00,1,29,16,1,11
2015-11-17 17:00:00,1,28,17,1,11
2015-11-17 18:00:00,1,28,18,1,11
2015-11-17 19:00:00,1,31,19,1,11
2015-11-17 20:00:00,1,28,20,1,11
2015-11-17 21:00:00,1,26,21,1,11
2015-11-17 22:00:00,1,26,22,1,11
2015-11-17 23:00:00,1,27,23,1,11
2015-11-18 00:00:00,1,24,0,2,11
2015-11-18 01:00:00,1,23,1,2,11
2015-11-18 02:00:00,1,20,2,2,11
2015-11-18 03:00:00,1,19,3,2,11
2015-11-18 04:00:00,1,20,4,2,11
2015-11-18 05:00:00,1,16,5,2,11
2015-11-18 06:00:00,1,19,6,2,11
2015-11-18 07:00:00,1,16,7,2,11
2015-11-18 08:00:00,1,17,8,2,11
2015-11-18 09:00:00,1,19,9,2,11
2015-11-18 10:00:00,1,30,10,2,11
2015-11-18 11:00:00,1,44,11,2,11
2015-11-18 12:00:00,1,35,12,2,11
2015-11-18 13:00:00,1,34,13,2,11
2015-11-18 14:00:00,1,31,14,2,11
2015-11-18 15:00:00,1,31,15,2,11
2015-11-18 16:00:00,1,28,16,2,11
2015-11-18 17:00:00,1,34,17,2,11
2015-11-18 18:00:00,1,37,18,2,11
2015-11-18 19:00:00,1,37,19,2,11
2015-11-18 20:00:00,1,34,20,2,11
2015-11-18 21:00:00,1,31,21,2,11
2015-11-18 22:00:00,1,29,22,2,11
2015-11-18 23:00:00,1,28,23,2,11
2015-11-19 00:00:00,1,32,0,3,11
2015-11-19 01:00:00,1,23,1,3,11
2015-11-19 02:00:00,1,20,2,3,11
2015-11-19 03:00:00,1,16,3,3,11
2015-11-19 04:00:00,1,18,4,3,11
2015-11-19 05:00:00,1,17,5,3,11
2015-11-19 06:00:00,1,16,6,3,11
2015-11-19 07:00:00,1,17,7,3,11
2015-11-19 08:00:00,1,18,8,3,11
2015-11-19 09:00:00,1,25,9,3,11
2015-11-19 10:00:00,1,31,10,3,11
2015-11-19 11:00:00,1,32,11,3,11
2015-11-19 12:00:00,1,31,12,3,11
2015-11-19 13:00:00,1,29,13,3,11
2015-11-19 14:00:00,1,31,14,3,11
2015-11-19 15:00:00,1,31,15,3,11
2015-11-19 16:00:00,1,30,16,3,11
2015-11-19 17:00:00,1,28,17,3,11
2015-11-19 18:00:00,1,29,18,3,11
2015-11-19 19:00:00,1,36,19,3,11
2015-11-19 20:00:00,1,29,20,3,11
2015-11-19 21:00:00,1,28,21,3,11
2015-11-19 22:00:00,1,30,22,3,11
2015-11-19 23:00:00,1,29,23,3,11
2015-11-20 00:00:00,1,24,0,4,11
2015-11-20 01:00:00,1,20,1,4,11
2015-11-20 02:00:00,1,15,2,4,11
2015-11-20 03:00:00,1,14,3,4,11
2015-11-20 04:00:00,1,13,4,4,11
2015-11-20 05:00:00,1,8,5,4,11
2015-11-20 06:00:00,1,12,6,4,11
2015-11-20 07:00:00,1,14,7,4,11
2015-11-20 08:00:00,1,15,8,4,11
2015-11-20 09:00:00,1,20,9,4,11
2015-11-20 10:00:00,1,26,10,4,11
2015-11-20 11:00:00,1,26,11,4,11
2015-11-20 12:00:00,1,26,12,4,11
2015-11-20 13:00:00,1,21,13,4,11
2015-11-20 14:00:00,1,26,14,4,11
2015-11-20 15:00:00,1,29,15,4,11
2015-11-20 16:00:00,1,20,16,4,11
2015-11-20 17:00:00,1,22,17,4,11
2015-11-20 18:00:00,1,25,18,4,11
2015-11-20 19:00:00,1,27,19,4,11
2015-11-20 20:00:00,1,26,20,4,11
2015-11-20 21:00:00,1,24,21,4,11
2015-11-20 22:00:00,1,25,22,4,11
2015-11-20 23:00:00,1,21,23,4,11
2015-11-21 00:00:00,1,17,0,5,11
2015-11-21 01:00:00,1,16,1,5,11
2015-11-21 02:00:00,1,15,2,5,11
2015-11-21 03:00:00,1,15,3,5,11
2015-11-21 04:00:00,1,15,4,5,11
2015-11-21 05:00:00,1,8,5,5,11
2015-11-21 06:00:00,1,12,6,5,11
2015-11-21 07:00:00,1,13,7,5,11
2015-11-21 08:00:00,1,12,8,5,11
2015-11-21 09:00:00,1,16,9,5,11
2015-11-21 10:00:00,1,18,10,5,11
2015-11-21 11:00:00,1,17,11,5,11
2015-11-21 12:00:00,1,18,12,5,11
2015-11-21 13:00:00,1,15,13,5,11
2015-11-21 14:00:00,1,21,14,5,11
2015-11-21 15:00:00,1,18,15,5,11
2015-11-21 16:00:00,1,17,16,5,11
2015-11-21 17:00:00,1,17,17,5,11
2015-11-21 18:00:00,1,19,18,5,11
2015-11-21 19:00:00,1,22,19,5,11
2015-11-21 20:00:00,1,18,20,5,11
2015-11-21 21:00:00,1,17,21,5,11
2015-11-21 22:00:00,1,22,22,5,11
2015-11-21 23:00:00,1,17,23,5,11
2015-11-22 00:00:00,1,15,0,6,11
2015-11-22 01:00:00,1,15,1,6,11
2015-11-22 02:00:00,1,11,2,6,11
2015-11-22 03:00:00,1,12,3,6,11
2015-11-22 04:00:00,1,11,4,6,11
2015-11-22 05:00:00,1,8,5,6,11
2015-11-22 06:00:00,1,11,6,6,11
2015-11-22 07:00:00,1,9,7,6,11
2015-11-22 08:00:00,1,8,8,6,11
2015-11-22 09:00:00,1,15,9,6,11
2015-11-22 10:00:00,1,18,10,6,11
2015-11-22 11:00:00,1,18,11,6,11
2015-11-22 12:00:00,1,20,12,6,11
2015-11-22 13:00:00,1,20,13,6,11
2015-11-22 14:00:00,1,20,14,6,11
2015-11-22 15:00:00,1,15,15,6,11
2015-11-22 16:00:00,1,16,16,6,11
2015-11-22 17:00:00,1,16,17,6,11
2015-11-22 18:00:00,1,21,18,6,11
2015-11-22 19:00:00,1,27,19,6,11
2015-11-22 20:00:00,1,26,20,6,11
2015-11-22 21:00:00,1,24,21,6,11
2015-11-22 22:00:00,1,20,22,6,11
2015-11-22 23:00:00,1,20,23,6,11
2015-11-23 00:00:00,1,21,0,0,11
2015-11-23 01:00:00,1,14,1,0,11
2015-11-23 02:00:00,1,16,2,0,11
2015-11-23 03:00:00,1,14,3,0,11
2015-11-23 04:00:00,1,11,4,0,11
2015-11-23 05:00:00,1,11,5,0,11
2015-11-23 06:00:00,1,9,6,0,11
2015-11-23 07:00:00,1,12,7,0,11
2015-11-23 08:00:00,1,16,8,0,11
2015-11-23 09:00:00,1,26,9,0,11
2015-11-23 10:00:00,1,33,10,0,11
2015-11-23 11:00:00,1,35,11,0,11
2015-11-23 12:00:00,1,33,12,0,11
2015-11-23 13:00:00,1,32,13,0,11
2015-11-23 14:00:00,1,28,14,0,11
2015-11-23 15:00:00,1,33,15,0,11
2015-11-23 16:00:00,1,27,16,0,11
2015-11-23 17:00:00,1,24,17,0,11
2015-11-23 18:00:00,1,27,18,0,11
2015-11-23 19:00:00,1,29,19,0,11
2015-11-23 20:00:00,1,26,20,0,11
2015-11-23 21:00:00,1,27,21,0,11
2015-11-23 22:00:00,1,28,22,0,11
2015-11-23 23:00:00,1,26,23,0,11
2015-11-24 00:00:00,1,23,0,1,11
2015-11-24 01:00:00,1,19,1,1,11
2015-11-24 02:00:00,1,18,2,1,11
2015-11-24 03:00:00,1,13,3,1,11
2015-11-24 04:00:00,1,12,4,1,11
2015-11-24 05:00:00,1,13,5,1,11
2015-11-24 06:00:00,1,16,6,1,11
2015-11-24 07:00:00,1,17,7,1,11
2015-11-24 08:00:00,1,23,8,1,11
2015-11-24 09:00:00,1,26,9,1,11
2015-11-24 10:00:00,1,29,10,1,11
2015-11-24 11:00:00,1,28,11,1,11
2015-11-24 12:00:00,1,31,12,1,11
2015-11-24 13:00:00,1,23,13,1,11
2015-11-24 14:00:00,1,28,14,1,11
2015-11-24 15:00:00,1,25,15,1,11
2015-11-24 16:00:00,1,24,16,1,11
2015-11-24 17:00:00,1,27,17,1,11
2015-11-24 18:00:00,1,28,18,1,11
2015-11-24 19:00:00,1,24,19,1,11
2015-11-24 20:00:00,1,29,20,1,11
2015-11-24 21:00:00,1,26,21,1,11
2015-11-24 22:00:00,1,25,22,1,11
2015-11-24 23:00:00,1,23,23,1,11
2015-11-25 00:00:00,1,21,0,2,11
2015-11-25 01:00:00,1,16,1,2,11
2015-11-25 02:00:00,1,16,2,2,11
2015-11-25 03:00:00,1,15,3,2,11
2015-11-25 04:00:00,1,11,4,2,11
2015-11-25 05:00:00,1,9,5,2,11
2015-11-25 06:00:00,1,10,6,2,11
2015-11-25 07:00:00,1,14,7,2,11
2015-11-25 08:00:00,1,17,8,2,11
2015-11-25 09:00:00,1,21,9,2,11
2015-11-25 10:00:00,1,28,10,2,11
2015-11-25 11:00:00,1,30,11,2,11
2015-11-25 12:00:00,1,29,12,2,11
2015-11-25 13:00:00,1,26,13,2,11
2015-11-25 14:00:00,1,26,14,2,11
2015-11-25 15:00:00,1,27,15,2,11
2015-11-25 16:00:00,1,26,16,2,11
2015-11-25 17:00:00,1,23,17,2,11
2015-11-25 18:00:00,1,28,18,2,11
2015-11-25 19:00:00,1,31,19,2,11
2015-11-25 20:00:00,1,26,20,2,11
2015-11-25 21:00:00,1,24,21,2,11
2015-11-25 22:00:00,1,24,22,2,11
2015-11-25 23:00:00,1,21,23,2,11
2015-11-26 00:00:00,1,22,0,3,11
2015-11-26 01:00:00,1,16,1,3,11
2015-11-26 02:00:00,1,13,2,3,11
2015-11-26 03:00:00,1,11,3,3,11
2015-11-26 04:00:00,1,13,4,3,11
2015-11-26 05:00:00,1,12,5,3,11
